estacion,fecha,altura_relativa_mm
EBPT,2021-01-06,0.00
EBPT,2021-01-13,5.11
EBPT,2021-01-20,4.28
EBPT,2021-01-27,6.31
EBPT,2021-02-03,8.91
EBPT,2021-02-10,11.90
EBPT,2021-02-17,7.77
EBPT,2021-02-24,12.78
EBPT,2021-03-03,6.84
EBPT,2021-03-10,11.30
EBPT,2021-03-17,4.94
EBPT,2021-03-24,6.20
EBPT,2021-03-31,9.30
EBPT,2021-04-07,4.91
EBPT,2021-04-14,4.18
EBPT,2021-04-21,5.43
EBPT,2021-04-28,5.83
EBPT,2021-05-05,-3.15
EBPT,2021-05-12,0.11
EBPT,2021-05-19,1.25
EBPT,2021-05-26,-1.64
EBPT,2021-06-02,-4.76
EBPT,2021-06-09,-7.46
EBPT,2021-06-16,-10.02
EBPT,2021-06-23,-8.34
EBPT,2021-06-30,-10.71
EBPT,2021-07-07,-5.52
EBPT,2021-07-14,-7.93
EBPT,2021-07-21,-8.36
EBPT,2021-07-28,-9.70
EBPT,2021-08-04,-10.30
EBPT,2021-08-11,-6.31
EBPT,2021-08-18,-7.77
EBPT,2021-08-25,-4.98
EBPT,2021-09-01,-4.95
EBPT,2021-09-08,-7.15
EBPT,2021-09-15,-6.56
EBPT,2021-09-22,-5.86
EBPT,2021-09-29,-5.95
EBPT,2021-10-06,-3.68
EBPT,2021-10-13,-2.93
EBPT,2021-10-20,-6.47
EBPT,2021-10-27,-7.20
EBPT,2021-11-03,-5.35
EBPT,2021-11-10,-5.72
EBPT,2021-11-17,-2.86
EBPT,2021-11-24,-6.88
EBPT,2021-12-01,0.71
EBPT,2021-12-29,4.02
EBPT,2022-01-12,0.90
EBPT,2022-01-19,2.62
EBPT,2022-01-26,5.01
EBPT,2022-02-02,4.50
EBPT,2022-02-09,8.40
EBPT,2022-02-16,2.64
EBPT,2022-02-23,0.86
EBPT,2022-03-02,6.36
EBPT,2022-03-09,8.96
EBPT,2022-03-16,5.10
EBPT,2022-03-23,4.17
EBPT,2022-03-30,3.11
EBPT,2022-04-06,1.60
EBPT,2022-04-13,-1.06
EBPT,2022-05-11,-2.70
EBPT,2022-05-18,-5.78
EBPT,2022-05-25,-5.73
EBPT,2022-06-01,-4.16
EBPT,2022-08-17,-6.95
EBPT,2022-08-24,-7.91
EBPT,2022-08-31,-5.65
EBPT,2022-09-07,-10.97
EBPT,2022-09-14,-12.56
EBPT,2022-09-21,-12.89
EBPT,2022-09-28,-7.44
EBPT,2022-10-05,-11.33
EBPT,2022-10-12,-7.28
EBPT,2022-10-19,-6.00
EBPT,2022-10-26,-9.22
EBPT,2022-11-02,-8.42
EBPT,2022-11-09,-7.11
EBPT,2022-11-16,-9.85
EBPT,2022-11-23,-8.60
EBPT,2022-11-30,-6.33
EBPT,2022-12-07,-5.45
EBPT,2022-12-14,-4.76
EBPT,2022-12-21,1.61
EBPT,2022-12-28,-4.54
EBPT,2023-03-08,82.11
EBPT,2023-03-22,132.67
EBPT,2023-03-29,94.51
EBPT,2023-05-24,44.59
EBPT,2023-06-28,-2.21
EBPT,2023-07-05,-4.94
EBPT,2023-07-12,-5.43
EBPT,2023-07-19,-3.78
EBPT,2023-07-26,-0.13
EBPT,2023-08-02,-2.12
EBPT,2023-08-09,1.98
EBPT,2023-08-16,-0.35
EBPT,2023-08-23,4.03
EBPT,2023-08-30,0.67
EBPT,2023-09-06,-1.51
EBPT,2023-09-13,4.53
EBPT,2023-09-20,-0.29
EBPT,2023-09-27,5.34
EBPT,2023-10-04,3.18
EBPT,2023-10-11,1.72
EBPT,2023-10-18,1.65
EBPT,2023-10-25,2.57
EBPT,2023-11-01,2.00
EBPT,2023-11-08,0.10
EBPT,2023-11-15,4.84
EBPT,2023-11-22,1.61
EBPT,2023-11-29,-1.50
EBPT,2023-12-06,7.50
EBPT,2023-12-13,16.17
EBPT,2023-12-20,16.34
EBPT,2024-01-10,6.23
EBPT,2024-01-17,13.94
EBPT,2024-01-24,9.17
EBPT,2024-01-31,9.62
EBPT,2024-02-07,13.61
EBPT,2024-02-14,12.45
EBPT,2024-02-21,9.71
EBPT,2024-02-28,7.66
EBPT,2024-03-06,12.00
EBPT,2024-03-13,17.08
EBPT,2024-03-20,15.11
EBPT,2024-03-27,11.80
EBPT,2024-04-03,14.63
EBPT,2024-04-10,16.59
EBPT,2024-04-17,13.78
EBPT,2024-04-24,15.28
EBPT,2024-05-01,8.11
EBPT,2024-05-15,8.96
EBPT,2024-05-22,5.75
EBPT,2024-05-29,6.79
EBPT,2024-06-05,0.13
EBPT,2024-06-12,1.56
EBPT,2024-06-19,3.35
EBPT,2024-06-26,-5.31
EBPT,2024-07-03,-2.76
EBPT,2024-07-10,-1.01
EBPT,2024-07-17,-1.67
EBPT,2024-07-24,-1.51
EBPT,2024-07-31,2.00
EBPT,2024-08-07,3.19
EBPT,2024-08-14,2.75
EBPT,2024-08-21,0.83
EBPT,2024-08-28,3.70
EBPT,2024-09-04,2.39
EBPT,2024-09-11,5.66
EBPT,2024-09-18,8.25
EBPT,2024-09-25,7.48
EBPT,2024-10-02,6.12
EBPT,2024-10-09,5.22
EBPT,2024-10-16,6.85
EBPT,2024-10-23,8.27
EBPT,2024-10-30,3.63
EBPT,2024-11-06,7.13
EBPT,2024-11-13,4.04
EBPT,2024-11-20,7.78
EBPT,2024-11-27,7.32
EBPT,2024-12-04,7.83
EBPT,2024-12-18,6.08
EBPT,2024-12-25,13.43
EBPT,2025-01-01,8.03
EBPT,2025-01-29,12.46
EBPT,2025-02-05,17.08
EBPT,2025-02-12,9.41
EBPT,2025-02-19,13.16
EBPT,2025-10-15,-1.75
EBPT,2025-10-22,-2.30
EBPT,2025-10-29,-0.82
EBPT,2025-11-05,-0.81
EBPT,2025-11-12,1.75
EBPT,2025-11-19,0.31
EBPT,2025-11-26,0.09
EBPT,2025-12-03,-0.52
EBPT,2025-12-10,8.54
EBPT,2025-12-17,2.04
EBPT,2025-12-24,1.13
EBPT,2025-12-31,1.77
EBPT,2026-01-07,0.62
EBPT,2026-01-14,2.99
EBPT,2026-01-21,4.25
EBPT,2026-01-28,4.86
EBPT,2026-02-04,2.54
EBPT,2026-02-11,1.03
EBPT,2026-02-18,5.04
EBPT,2026-02-25,1.41
EBPT,2026-03-04,5.33
EBPT,2026-03-11,2.28
EBPT,2026-03-18,4.50
EBPT,2026-03-25,7.03
EBPT,2026-04-01,3.19
EBPT,2026-04-08,5.71
EBPT,2026-04-15,-2.93
EBPT,2026-04-22,5.42
EBPT,2026-04-29,-0.04
EBPT,2026-05-06,-2.11
EBPT,2026-05-13,1.51
EBPT,2026-05-20,2.09
CASI,2008-12-10,0.00
CASI,2008-12-17,3.62
CASI,2008-12-24,5.95
CASI,2008-12-31,4.71
CASI,2009-01-14,6.24
CASI,2009-01-21,9.31
CASI,2009-01-28,13.46
CASI,2009-02-04,12.87
CASI,2009-02-11,13.58
CASI,2009-02-18,14.77
CASI,2009-02-25,12.67
CASI,2009-03-04,11.31
CASI,2009-03-11,17.17
CASI,2009-03-18,17.35
CASI,2009-03-25,12.72
CASI,2009-04-01,14.53
CASI,2009-04-08,12.78
CASI,2009-04-15,12.75
CASI,2009-04-22,6.73
CASI,2009-04-29,7.82
CASI,2009-05-06,9.65
CASI,2009-05-13,8.47
CASI,2009-05-20,10.74
CASI,2009-05-27,12.75
CASI,2009-06-03,9.48
CASI,2009-06-10,4.03
CASI,2009-06-17,3.40
CASI,2009-06-24,3.19
CASI,2009-07-01,5.98
CASI,2009-07-08,9.03
CASI,2009-07-15,10.13
CASI,2009-07-22,10.70
CASI,2009-07-29,10.61
CASI,2009-08-05,11.81
CASI,2009-08-12,13.76
CASI,2009-08-19,10.69
CASI,2009-08-26,12.32
CASI,2009-09-02,12.90
CASI,2009-09-09,13.52
CASI,2009-09-16,9.19
CASI,2009-09-23,14.53
CASI,2009-09-30,14.83
CASI,2009-10-07,18.76
CASI,2009-10-14,16.40
CASI,2009-10-21,14.66
CASI,2009-10-28,13.38
CASI,2009-11-04,11.38
CASI,2009-11-11,6.10
CASI,2009-11-18,7.18
CASI,2009-11-25,8.13
CASI,2009-12-02,10.83
CASI,2009-12-09,8.99
CASI,2009-12-16,8.63
CASI,2009-12-23,10.49
CASI,2009-12-30,10.77
CASI,2010-01-06,15.77
CASI,2010-01-13,14.84
CASI,2010-02-10,27.38
CASI,2010-02-17,25.62
CASI,2010-02-24,26.75
CASI,2010-03-10,19.95
CASI,2010-03-17,21.51
CASI,2010-03-24,25.19
CASI,2010-03-31,20.11
CASI,2010-04-07,16.90
CASI,2010-04-14,17.20
CASI,2010-04-21,21.61
CASI,2010-04-28,23.51
CASI,2010-05-05,26.19
CASI,2010-05-12,21.42
CASI,2010-05-19,19.75
CASI,2010-05-26,14.43
CASI,2015-03-04,23.90
CASI,2015-03-11,22.95
CASI,2015-03-18,26.06
CASI,2015-03-25,21.07
CASI,2015-04-01,31.12
CASI,2015-04-08,23.55
CASI,2015-04-15,22.29
CASI,2015-04-22,25.87
CASI,2015-04-29,23.54
CASI,2015-05-06,21.62
CASI,2015-05-13,22.45
CASI,2015-05-20,18.16
CASI,2015-05-27,16.79
CASI,2015-06-03,20.82
CASI,2015-06-10,17.26
CASI,2015-06-17,24.97
CASI,2015-06-24,17.24
CASI,2015-07-01,18.62
CASI,2015-07-08,21.52
CASI,2015-07-15,21.07
CASI,2015-07-22,18.04
CASI,2015-07-29,18.89
CASI,2015-08-05,22.65
CASI,2015-08-12,18.16
CASI,2015-08-19,17.84
CASI,2015-08-26,15.59
CASI,2015-09-02,21.29
CASI,2015-09-09,15.55
CASI,2015-09-16,17.41
CASI,2015-09-23,18.97
CASI,2015-09-30,17.78
CASI,2015-10-07,21.56
CASI,2015-10-14,20.42
CASI,2015-10-21,21.07
CASI,2015-10-28,17.01
CASI,2015-11-04,14.36
CASI,2015-11-11,16.71
CASI,2015-11-18,17.15
CASI,2015-11-25,15.32
CASI,2015-12-02,23.09
CASI,2015-12-09,17.23
CASI,2015-12-16,22.90
CASI,2015-12-23,24.20
CASI,2015-12-30,24.26
CASI,2016-01-06,24.54
CASI,2016-01-13,23.24
CASI,2016-01-20,22.98
CASI,2016-01-27,24.04
CASI,2016-02-03,25.63
CASI,2016-02-10,22.03
CASI,2016-02-17,23.58
CASI,2016-02-24,28.36
CASI,2016-03-02,23.17
CASI,2016-03-09,25.74
CASI,2016-03-16,23.87
CASI,2016-03-23,22.71
CASI,2016-03-30,24.36
