fecha,anomalia_espesor_agua_equivalente_cm,fuente,caja_lat_norte,caja_lat_sur,caja_lon_oeste,caja_lon_este
2002-04-17,-13.815370452784315,JPL Mascon RL06.3M v04,12.5156,10.3359,-74.0391,-71.5078
2002-05-10,-7.088484776400339
2002-08-16,-10.384588849924816
2002-09-16,-2.646827352427257
2002-10-16,-6.479987037562145
2002-11-16,-4.597402704142345
2002-12-16,-7.422086489580883
2003-01-16,-10.68442417421223
2003-02-15,-18.071705830477487
2003-03-16,-21.936623943232306
2003-04-16,-19.570217264078863
2003-05-11,-16.313235891245615
2003-07-16,-6.084726941965832
2003-08-16,-6.463158262156261
2003-09-16,-5.340116930388225
2003-10-16,0.9827945705425614
2003-11-16,6.871154176808583
2003-12-16,4.860545540965782
2004-01-07,-2.834566367052806
2004-02-17,-14.403616917513622
2004-03-16,-15.471267950915111
2004-04-16,-14.791961205385935
2004-05-16,-8.19136918821217
2004-06-16,-0.835863155506862
2004-07-16,-5.445235979937328
2004-08-16,-4.8832963232028614
2004-09-16,-0.015430641554606606
2004-10-16,3.6542325939905522
2004-11-16,9.185878562546955
2004-12-16,3.8311697941195844
2005-01-16,-0.5213679496276503
2005-02-15,-2.2242188278663284
2005-03-16,-6.993993235014689
2005-04-16,-11.891802442454114
2005-05-16,-2.4780938152301437
2005-06-16,-0.7905321542251236
2005-07-16,-3.303119552515758
2005-08-16,-3.8295772198665263
2005-09-16,-2.9860434655177723
2005-10-16,0.8356762703430527
2005-11-16,7.374962794400441
2005-12-16,5.59367610774158
2006-01-16,-0.385736805580867
2006-02-15,-2.528149199866069
2006-03-16,-7.636870217703595
2006-04-16,-3.255036247156871
2006-05-16,6.729753250993478
2006-06-16,5.367747875667797
2006-07-16,1.3218648459684723
2006-08-16,-1.2784061405885345
2006-09-16,2.4211466785442703
2006-10-16,4.709100323535191
2006-11-16,6.858974772311436
2006-12-16,4.732631685949551
2007-01-16,-2.5489849869239456
2007-02-15,-11.211209667109264
2007-03-16,-12.964483273409618
2007-04-16,-6.812456739329113
2007-05-16,-0.8785060767161972
2007-06-16,3.3989724114459627
2007-07-16,0.4452113795947903
2007-08-16,2.1160092081796997
2007-09-16,5.898620146132695
2007-10-16,7.964540409661519
2007-11-16,11.46793531141399
2007-12-16,5.523030119754062
2008-01-16,-0.8634160731065399
2008-02-15,-5.644648385428204
2008-03-16,-8.85992194452168
2008-04-16,-10.398458671950113
2008-05-16,-0.41578696408153837
2008-06-16,0.6260129909884803
2008-07-16,2.5412785883915303
2008-08-16,7.424281525231587
2008-09-16,7.163097369290576
2008-10-16,13.230717169858206
2008-11-16,16.412095892049063
